"","Estimate","Std. Error","t value","Pr(>|t|)"
"pgSMS",0.0165532963674302,0.054072064499023,0.306133981026918,0.759503699940701
"pgSGS",-0.0864032095234451,0.0634035638032281,-1.36275004653675,0.172966422176934
"pgSEOA",0.0877304259299459,0.0622193861597455,1.41001754187516,0.158539695354101
"pgSNS",0.0261257192446613,0.0644301793349289,0.405488848771495,0.685119661784615
"pgSAS",-0.0157227564129578,0.0639628378830359,-0.245810800979607,0.805829537747971
"pgSRS",0.0414030189087788,0.0659525282239386,0.627770004027697,0.530157011884353
"pgSUS",0.0340398764175651,0.0627898932402701,0.542123495692356,0.587735450341681
"pgSO",-0.00572374016278665,0.248832874620137,-0.0230023471437382,0.981648477312585
"pgSMCD",-0.198929936041539,0.0602306339847642,-3.30280328930058,0.000957795518205646
"AgeAtFirstClaim",0.00316753985520025,0.000327935286466152,9.65903940784729,4.67058352393114e-22
"SexM",-0.032460973099377,0.0120567104187643,-2.69235736547646,0.00709685976078022
